Year,Month,Day,Hour,Week,Tapioca Pearls (Boba),Lychee Jelly,Aloe Vera Bits,Grass Jelly,Fresh Milk,Red Beans,Cups (Regular),Straws (Regular),Straws (Jumbo),Napkins (Regular),To-Go Bags (Small),Lids (Dome),Lids (Flat),Condiment Station Supplies,Taro,Matcha,Brown Sugar,Black Sugar,Strawberry Milk Cream,Mango Milk Cream,Sago,Crystal Jelly,Jasmine Green Tea Leaves,Passion Fruit Tea Leaves,Oolong Tea Leaves
2024,6,1,0,1,3,8,6,3,14,2,35,32,3,35,35,4,31,18,1,8,2,9,4,5,5,5,2,4,6
2024,6,1,1,1,5,2,3,2,15,3,34,29,5,34,34,4,30,20,3,9,2,8,4,4,4,4,6,1,3
2024,6,1,2,1,2,4,5,6,12,5,32,30,2,32,32,4,28,19,1,7,1,8,4,2,2,2,4,2,5
2024,6,1,3,1,5,12,1,3,11,5,28,23,5,28,28,1,27,16,2,7,3,5,1,4,4,4,1,6,1
2024,6,1,4,1,8,12,4,6,9,2,39,31,8,39,39,1,38,19,4,4,4,8,1,4,4,4,6,6,4
2024,6,1,5,1,8,2,2,2,10,4,29,21,8,29,29,1,28,17,5,6,3,4,1,6,6,6,3,1,2
2024,6,1,6,1,4,10,6,2,17,6,44,40,4,44,44,5,39,22,3,11,1,7,5,6,6,6,5,5,6
2024,6,1,7,1,5,2,2,4,11,1,25,20,5,25,25,1,24,17,2,7,3,10,1,4,4,4,1,1,2
2024,6,1,8,1,8,2,3,4,17,6,32,24,8,32,32,1,31,23,2,10,6,8,1,4,4,4,1,1,3
2024,6,1,9,1,10,12,3,1,14,1,37,27,10,37,37,5,32,21,6,5,4,5,5,5,5,5,2,6,3
2024,6,1,10,1,6,12,1,2,10,1,32,26,6,32,32,2,30,15,3,5,3,6,2,6,6,6,4,6,1
2024,6,1,11,1,10,4,3,6,10,3,31,21,10,31,31,2,29,22,6,4,4,7,2,1,1,1,3,2,3
2024,6,2,0,1,4,6,5,6,17,6,40,36,4,40,40,3,37,25,2,12,2,12,3,4,4,4,3,3,5
2024,6,2,1,1,9,10,2,2,14,4,28,19,9,28,28,1,27,19,3,7,6,5,1,1,1,1,1,5,2
2024,6,2,2,1,6,8,1,6,16,5,42,36,6,42,42,6,36,27,5,9,1,10,6,4,4,4,6,4,1
2024,6,2,3,1,8,4,4,5,15,5,37,29,8,37,37,1,36,23,3,9,5,9,1,2,2,2,6,2,4
2024,6,2,4,1,7,4,3,2,13,5,31,24,7,31,31,1,30,20,5,10,2,7,1,2,2,2,4,2,3
2024,6,2,5,1,5,10,1,5,20,6,38,33,5,38,38,5,33,26,1,11,4,10,5,3,3,3,3,5,1
2024,6,2,6,1,6,12,4,1,10,1,30,24,6,30,30,3,27,16,5,6,1,6,3,2,2,2,2,6,4
2024,6,2,7,1,7,10,5,3,14,2,40,33,7,40,40,2,38,19,2,7,5,8,2,5,5,5,6,5,5
2024,6,2,8,1,5,4,5,3,12,5,28,23,5,28,28,1,27,16,1,7,4,5,1,2,2,2,3,2,5
2024,6,2,9,1,6,4,5,2,14,4,36,30,6,36,36,5,31,19,3,6,3,4,5,6,6,6,4,2,5
2024,6,2,10,1,5,8,6,2,15,3,33,28,5,33,33,4,29,19,2,8,3,7,4,3,3,3,1,4,6
2024,6,2,11,1,5,2,1,1,18,4,31,26,5,31,31,6,25,21,2,9,3,6,6,4,4,4,4,1,1
2024,6,3,0,1,3,10,4,2,15,3,38,35,3,38,38,6,32,18,1,7,2,6,6,6,6,6,5,5,4
2024,6,3,1,1,6,12,6,5,9,2,31,25,6,31,31,3,28,17,3,3,3,6,3,1,1,1,1,6,6
2024,6,3,2,1,2,2,4,2,11,1,27,25,2,27,27,3,24,14,1,7,1,8,3,5,5,5,3,1,4
2024,6,3,3,1,10,6,1,4,19,3,39,29,10,39,39,6,33,29,6,9,4,10,6,1,1,1,5,3,1
2024,6,3,4,1,6,4,4,3,12,3,31,25,6,31,31,2,29,17,2,6,4,6,2,3,3,3,5,2,4
2024,6,3,5,1,7,12,5,5,11,1,39,32,7,39,39,3,36,19,3,4,4,8,3,3,3,3,6,6,5
2024,6,3,6,1,7,2,1,5,10,1,30,23,7,30,30,3,27,19,4,4,3,8,3,4,4,4,5,1,1
2024,6,3,7,1,11,6,2,5,16,2,42,31,11,42,42,5,37,27,6,6,5,9,5,4,4,4,6,3,2
2024,6,3,8,1,11,4,6,6,15,4,44,33,11,44,44,3,41,27,6,7,5,9,3,4,4,4,5,2,6
2024,6,3,9,1,8,6,1,4,15,2,33,25,8,33,33,4,29,22,3,6,5,8,4,2,2,2,5,3,1
2024,6,3,10,1,6,2,6,2,17,6,34,28,6,34,34,3,31,22,3,11,3,7,3,2,2,2,3,1,6
2024,6,3,11,1,2,2,6,4,16,6,36,34,2,36,36,4,32,21,1,11,1,9,4,5,5,5,3,1,6
2024,6,4,0,1,4,10,4,2,15,6,36,32,4,36,36,6,30,20,3,8,1,4,6,2,2,2,5,5,4
2024,6,4,1,1,6,12,2,5,15,3,35,29,6,35,35,5,30,21,1,5,5,7,5,3,3,3,3,6,2
2024,6,4,2,1,4,12,4,2,18,6,42,38,4,42,42,5,37,21,1,10,3,6,5,6,6,6,5,6,4
2024,6,4,3,1,4,6,2,1,13,3,29,25,4,29,29,5,24,16,2,6,2,4,5,5,5,5,3,3,2
2024,6,4,4,1,4,2,6,2,8,1,29,25,4,29,29,3,26,12,2,3,2,4,3,4,4,4,6,1,6
2024,6,4,5,1,7,6,6,3,17,6,43,36,7,43,43,3,40,24,4,11,3,8,3,4,4,4,6,3,6
