Year,Month,Day,Hour,Week,Drink,Number of Drinks Sold,Sales ($)
2023,6,1,0,1,Classic Brown Sugar Boba Milk Tea,3,18.75
2023,6,1,0,1,Taro Bubble Tea,6,40.5
2023,6,1,0,1,Matcha Black Sugar Boba Milk,3,20.25
2023,6,1,0,1,Black Sugar Coffee Jelly,2,13.0
2023,6,1,0,1,Strawberry Milk,3,24
2023,6,1,0,1,Tiger Mango Sago,7,56
2023,6,1,0,1,Passion Fruit Tea,5,27.5
2023,6,1,0,1,Golden Oolong Tea,3,16.5
2023,6,1,0,1,Red Bean Matcha Milk,4,27.0
2023,6,1,0,1,Jasmine Green Tea,4,19.0
2023,6,1,1,1,Classic Brown Sugar Boba Milk Tea,5,31.25
2023,6,1,1,1,Taro Bubble Tea,2,13.5
2023,6,1,1,1,Matcha Black Sugar Boba Milk,7,47.25
2023,6,1,1,1,Black Sugar Coffee Jelly,1,6.5
2023,6,1,1,1,Strawberry Milk,3,24
2023,6,1,1,1,Tiger Mango Sago,6,48
2023,6,1,1,1,Passion Fruit Tea,7,38.5
2023,6,1,1,1,Golden Oolong Tea,3,16.5
2023,6,1,1,1,Red Bean Matcha Milk,2,13.5
2023,6,1,1,1,Jasmine Green Tea,6,28.5
2023,6,1,2,1,Classic Brown Sugar Boba Milk Tea,3,18.75
2023,6,1,2,1,Taro Bubble Tea,4,27.0
2023,6,1,2,1,Matcha Black Sugar Boba Milk,4,27.0
2023,6,1,2,1,Black Sugar Coffee Jelly,3,19.5
2023,6,1,2,1,Strawberry Milk,1,8
2023,6,1,2,1,Tiger Mango Sago,6,48
2023,6,1,2,1,Passion Fruit Tea,4,22.0
2023,6,1,2,1,Golden Oolong Tea,6,33.0
2023,6,1,2,1,Red Bean Matcha Milk,6,40.5
2023,6,1,2,1,Jasmine Green Tea,1,4.75
2023,6,1,3,1,Classic Brown Sugar Boba Milk Tea,1,6.25
2023,6,1,3,1,Taro Bubble Tea,5,33.75
2023,6,1,3,1,Matcha Black Sugar Boba Milk,1,6.75
2023,6,1,3,1,Black Sugar Coffee Jelly,5,32.5
2023,6,1,3,1,Strawberry Milk,3,24
2023,6,1,3,1,Tiger Mango Sago,7,56
2023,6,1,3,1,Passion Fruit Tea,1,5.5
2023,6,1,3,1,Golden Oolong Tea,4,22.0
2023,6,1,3,1,Red Bean Matcha Milk,2,13.5
2023,6,1,3,1,Jasmine Green Tea,5,23.75
2023,6,1,4,1,Classic Brown Sugar Boba Milk Tea,5,31.25
2023,6,1,4,1,Taro Bubble Tea,2,13.5
2023,6,1,4,1,Matcha Black Sugar Boba Milk,2,13.5
2023,6,1,4,1,Black Sugar Coffee Jelly,4,26.0
2023,6,1,4,1,Strawberry Milk,6,48
2023,6,1,4,1,Tiger Mango Sago,7,56
2023,6,1,4,1,Passion Fruit Tea,3,16.5
2023,6,1,4,1,Golden Oolong Tea,6,33.0
2023,6,1,4,1,Red Bean Matcha Milk,7,47.25
2023,6,1,4,1,Jasmine Green Tea,7,33.25
2023,6,1,5,1,Classic Brown Sugar Boba Milk Tea,2,12.5
2023,6,1,5,1,Taro Bubble Tea,5,33.75
2023,6,1,5,1,Matcha Black Sugar Boba Milk,3,20.25
2023,6,1,5,1,Black Sugar Coffee Jelly,4,26.0
2023,6,1,5,1,Strawberry Milk,6,48
2023,6,1,5,1,Tiger Mango Sago,2,16
2023,6,1,5,1,Passion Fruit Tea,7,38.5
2023,6,1,5,1,Golden Oolong Tea,2,11.0
2023,6,1,5,1,Red Bean Matcha Milk,6,40.5
2023,6,1,5,1,Jasmine Green Tea,1,4.75
